,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size
Antenna_coverage,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
slot_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,4,7,8,9,10,11,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
AD3830770CCDD0AD383001C3,,,,,,,,-73.0,,-67.0,,,,,,,,,,,,,,,,,,,-75.0,,,-74.5,-74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,-67.0,,,,,,,,,,,,,,,,,,,-75.0,,,-74.5,-74.5,,,,,,,,-73.0,,-67.0,,,,,,,,,,,,,,,,,,,-75.0,,,-74.5,-74.5,,,,,,,,-73.0,,-67.0,,,,,,,,,,,,,,,,,,,-75.0,,,-74.5,-74.5,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0
AD3830770CCDD0AD383001C4,,-77.5,,,,,,,-77.0,,-77.5,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.5,,,,,,,-77.0,,-77.5,,,,,,,,,,,,,,,,,,,,,,,,-77.5,,,,,,,-77.0,,-77.5,,,,,,,,,,,,,,,,,,,,,,,,-77.5,,,,,,,-77.0,,-77.5,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001C6,,-75.5,-76.5,-76.0,-76.5,,-76.25,,,-75.0,,-76.0,,,,-73.5,,,,,,,,,,,,,,,,,,,0.7071067811865476,,,,0.3535533905932738,,,,,,,,,,,,,,,,,,,,,,,,-76.0,-76.5,-76.0,-76.5,,-76.5,,,-75.0,,-76.0,,,,-73.5,,,,,,,,,,,,,,,,,,,-74.5,-76.5,-76.0,-76.5,,-76.0,,,-75.0,,-76.0,,,,-73.5,,,,,,,,,,,,,,,,,,,-75.75,-76.5,-76.0,-76.5,,-76.25,,,-75.0,,-76.0,,,,-73.5,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001C8,,,,,,,,,-67.5,-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001C9,,,,,,,,-72.0,-66.5,,,,,,,,,,,,,,,,,,-59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,-66.5,,,,,,,,,,,,,,,,,,-59.5,,,,,,,,,,,,,,-72.0,-66.5,,,,,,,,,,,,,,,,,,-59.5,,,,,,,,,,,,,,-72.0,-66.5,,,,,,,,,,,,,,,,,,-59.5,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD383001CA,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001CB,,,,,,,,-71.0,-65.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.838834764831844,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-65.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
